company,country,director,genre,name,rating,star,writer,released,budget,gross,runtime,score,votes,year
Haos Film,Greece,Yorgos Lanthimos,Drama,Alps: Los suplantadores,NOT RATED,Stavros Psyllakis,Efthymis Filippou,01/11/2013,0,5981,100,6.4,5996,2011
Anchor Bay Films,USA,Ami Canaan Mann,Crime,Texas Killing Fields,R,Sam Worthington,Don Ferrarone,14/10/2011,0,45282,105,5.7,16018,2011
GK Films,USA,Angelina Jolie,Drama,In the Land of Blood and Honey,R,Zana Marjanovic,Angelina Jolie,16/02/2012,13000000,303877,100,4.4,32055,2011
Foresight Unlimited,USA,Matthew Chapman,Drama,The Ledge,R,Charlie Hunnam,Matthew Chapman,26/05/2011,10000000,5176,100,6.6,16604,2011
Savage Film,Belgium,Michaël R. Roskam,Crime,Bullhead,R,Matthias Schoenaerts,Michaël R. Roskam,02/02/2011,0,151840,129,7.4,19152,2011
BBC Films,UK,Fernando Meirelles,Drama,360,R,Rachel Weisz,Peter Morgan,10/08/2012,0,99603,110,6.2,14114,2011
Eros International,India,Imtiaz Ali,Drama,Rockstar,NOT RATED,Ranbir Kapoor,Imtiaz Ali,11/11/2011,10920000,985912,159,7.6,29940,2011
Atlas Productions,USA,Paul Johansson,Drama,Atlas Shrugged: Part I,PG-13,Taylor Schilling,Brian Patrick O'Toole,15/04/2011,20000000,4752353,97,5.7,11831,2011
"Safran Company, The",Germany,Rob Minkoff,Comedy,Flypaper,NOT RATED,Patrick Dempsey,Jon Lucas,25/05/2012,5000000,1098,87,6.4,28775,2011
Antena 3 Films,USA,Juan Carlos Fresnadillo,Fantasy,Intruders,R,Clive Owen,Nicolás Casariego,20/04/2012,13000000,69136,100,5.4,18528,2011
TriStar Pictures,USA,Salim Akil,Comedy,Jumping the Broom,PG-13,Paula Patton,Elizabeth Hunter,06/05/2011,6600000,37295394,100,5.7,8399,2011
Studio Ghibli,Japan,Gorô Miyazaki,Animation,From Up on Poppy Hill,PG,Sarah Bolger,Tetsurô Sayama,16/07/2011,22000000,1002895,91,7.5,22336,2011
Regency Enterprises,USA,John Whitesell,Action,"Big Mommas: Like Father, Like Son",PG-13,Martin Lawrence,Matt Fogel,18/02/2011,32000000,37915414,107,4.4,21446,2011
Slot Machine,France,Malgorzata Szumowska,Drama,Elles,NOT RATED,Juliette Binoche,Tine Byrckel,24/08/2012,0,157427,99,5.7,5354,2011
Excel Entertainment,India,Farhan Akhtar,Action,Don 2,NOT RATED,Shah Rukh Khan,Farhan Akhtar,23/12/2011,16700000,3680306,148,7.1,43225,2011
Magic Violet,USA,Geoffrey Fletcher,Action,Violet & Daisy,R,Saoirse Ronan,Geoffrey Fletcher,06/06/2013,8000000,17186,88,6.1,10028,2011
Indeed films,Belgium,Bavo Defurne,Drama,North Sea Texas,NOT RATED,Ben Van den Heuvel,André Sollie,02/11/2012,0,27578,94,7.2,6494,2011
Warner Bros.,UK,Christopher Nolan,Action,The Dark Knight Rises,PG-13,Christian Bale,Jonathan Nolan,20/07/2012,250000000,448139099,164,8.4,1253772,2012
The Weinstein Company,USA,Quentin Tarantino,Drama,Django Unchained,R,Jamie Foxx,Quentin Tarantino,25/12/2012,100000000,162805434,165,8.4,1070691,2012
Lionsgate,USA,Gary Ross,Adventure,The Hunger Games,PG-13,Jennifer Lawrence,Gary Ross,23/03/2012,78000000,408010692,142,7.2,748581,2012
Marvel Studios,USA,Joss Whedon,Action,The Avengers,PG-13,Robert Downey Jr.,Joss Whedon,04/05/2012,220000000,623357910,143,8.1,1064633,2012
Twentieth Century Fox Film Corporation,USA,Ridley Scott,Adventure,Prometheus,R,Noomi Rapace,Jon Spaihts,08/06/2012,130000000,126477084,124,7,503113,2012
New Line Cinema,USA,Peter Jackson,Adventure,The Hobbit: An Unexpected Journey,PG-13,Martin Freeman,Fran Walsh,14/12/2012,180000000,303003568,169,7.9,680250,2012
Brownstone Productions (II),USA,Jason Moore,Comedy,Pitch Perfect,PG-13,Anna Kendrick,Kay Cannon,05/10/2012,17000000,65001093,112,7.2,231932,2012
Paramount Pictures,USA,Christopher McQuarrie,Action,Jack Reacher,PG-13,Tom Cruise,Lee Child,21/12/2012,60000000,80070736,130,7,257474,2012
Summit Entertainment,USA,Stephen Chbosky,Drama,The Perks of Being a Wallflower,PG-13,Logan Lerman,Stephen Chbosky,12/10/2012,13000000,17738570,102,8,386932,2012
Cloud Atlas Productions,Germany,Tom Tykwer,Action,Cloud Atlas,R,Tom Hanks,David Mitchell,26/10/2012,102000000,27108272,172,7.5,305013,2012
Summit Entertainment,USA,Bill Condon,Adventure,The Twilight Saga: Breaking Dawn - Part 2,PG-13,Kristen Stewart,Melissa Rosenberg,16/11/2012,120000000,292298923,115,5.5,197849,2012
Lionsgate,USA,Drew Goddard,Horror,The Cabin in the Woods,R,Kristen Connolly,Joss Whedon,13/04/2012,30000000,42073277,95,7,304144,2012
Working Title Films,UK,Tom Hooper,Drama,Les Misérables,PG-13,Hugh Jackman,William Nicholson,25/12/2012,61000000,148809770,158,7.6,262187,2012
Indian Paintbrush,USA,Wes Anderson,Adventure,Moonrise Kingdom,PG-13,Jared Gilman,Wes Anderson,29/06/2012,16000000,45512466,94,7.8,261362,2012
Eon Productions,UK,Sam Mendes,Action,Skyfall,PG-13,Daniel Craig,Ian Fleming,09/11/2012,200000000,304360277,143,7.8,556275,2012
Columbia Pictures,USA,Phil Lord,Action,21 Jump Street,R,Jonah Hill,Michael Bacall,16/03/2012,42000000,138447667,110,7.2,441919,2012
Universal Pictures,USA,Peter Berg,Action,Battleship,PG-13,Alexander Skarsgård,Jon Hoeber,18/05/2012,209000000,65422625,131,5.8,213632,2012
Endgame Entertainment,USA,Rian Johnson,Action,Looper,R,Joseph Gordon-Levitt,Rian Johnson,28/09/2012,30000000,66486205,113,7.4,461775,2012
Columbia Pictures,USA,Kathryn Bigelow,Drama,Zero Dark Thirty,R,Jessica Chastain,Mark Boal,11/01/2013,40000000,95720716,157,7.4,231134,2012
Roth Films,USA,Rupert Sanders,Action,Snow White and the Huntsman,PG-13,Kristen Stewart,Evan Daugherty,01/06/2012,170000000,155332381,127,6.1,243327,2012
The Weinstein Company,USA,David O. Russell,Comedy,Silver Linings Playbook,R,Bradley Cooper,David O. Russell,25/12/2012,21000000,132092958,122,7.8,575513,2012
Universal Pictures,USA,Jon Hurwitz,Comedy,American Reunion,R,Jason Biggs,Jon Hurwitz,06/04/2012,50000000,57011521,113,6.7,181067,2012
Warner Bros.,USA,Tim Burton,Comedy,Dark Shadows,PG-13,Johnny Depp,Seth Grahame-Smith,11/05/2012,150000000,79727149,113,6.2,213561,2012
Universal Pictures,UK,Joe Wright,Drama,Anna Karenina,R,Keira Knightley,Tom Stoppard,01/03/2013,0,12816367,129,6.6,77083,2012
Columbia Pictures,USA,Marc Webb,Action,The Amazing Spider-Man,PG-13,Andrew Garfield,James Vanderbilt,03/07/2012,230000000,262030663,136,7,484931,2012
Sidney Kimmel Entertainment,USA,Derek Cianfrance,Crime,The Place Beyond the Pines,R,Ryan Gosling,Derek Cianfrance,19/04/2013,15000000,21383298,140,7.3,205530,2012
Warner Bros.,USA,Ben Affleck,Adventure,Argo,R,Ben Affleck,Chris Terrio,12/10/2012,44500000,136025503,120,7.7,491286,2012
Danmarks Radio (DR),Denmark,Thomas Vinterberg,Drama,The Hunt,R,Mads Mikkelsen,Tobias Lindholm,21/12/2012,3800000,687185,115,8.3,201299,2012
Iron Horse Entertainment (II),USA,Steven Soderbergh,Comedy,Magic Mike,R,Channing Tatum,Reid Carolin,29/06/2012,7000000,113721571,110,6.1,115818,2012
Universal Pictures,USA,Tony Gilroy,Action,The Bourne Legacy,PG-13,Jeremy Renner,Tony Gilroy,10/08/2012,125000000,113203870,135,6.7,250175,2012
Mediaset España,Spain,J.A. Bayona,Drama,The Impossible,PG-13,Naomi Watts,Sergio G. Sánchez,04/01/2013,45000000,19019882,114,7.6,160833,2012
Muse Productions,USA,Harmony Korine,Crime,Spring Breakers,R,Vanessa Hudgens,Harmony Korine,22/03/2013,5000000,14123773,94,5.3,116309,2012
Walt Disney Animation Studios,USA,Rich Moore,Animation,Wreck-It Ralph,PG,John C. Reilly,Rich Moore,02/11/2012,165000000,189422889,101,7.7,298207,2012
Walt Disney Pictures,USA,Mark Andrews,Animation,Brave,PG,Kelly Macdonald,Brenda Chapman,22/06/2012,185000000,237283207,93,7.2,302017,2012
DNA Films,UK,Pete Travis,Action,Dredd,R,Karl Urban,John Wagner,21/09/2012,35000000,13414714,95,7.1,218179,2012
The Weinstein Company,USA,John Hillcoat,Crime,Lawless,R,Tom Hardy,Nick Cave,29/08/2012,26000000,37400127,116,7.3,199327,2012
Alliance Films,USA,Scott Derrickson,Horror,Sinister,R,Ethan Hawke,Scott Derrickson,12/10/2012,3000000,48086903,110,6.8,177787,2012
Walt Disney Pictures,USA,Andrew Stanton,Action,John Carter,PG-13,Taylor Kitsch,Andrew Stanton,09/03/2012,250000000,73078100,132,6.6,224234,2012
DreamWorks,USA,Steven Spielberg,Biography,Lincoln,PG-13,Daniel Day-Lewis,Tony Kushner,16/11/2012,65000000,182207973,150,7.4,211227,2012
New Line Cinema,USA,Adam Shankman,Comedy,Rock of Ages,PG-13,Julianne Hough,Justin Theroux,15/06/2012,75000000,38518613,123,5.9,65550,2012
Columbia Pictures,USA,Barry Sonnenfeld,Action,Men in Black 3,PG-13,Will Smith,Etan Cohen,25/05/2012,225000000,179020854,100,6.8,282995,2012
Paramount Pictures,USA,Robert Zemeckis,Drama,Flight,R,Denzel Washington,John Gatins,02/11/2012,31000000,93772375,138,7.3,280858,2012
Universal Pictures,USA,Seth MacFarlane,Comedy,Ted,R,Mark Wahlberg,Seth MacFarlane,29/06/2012,50000000,218815487,106,7,503464,2012
The Weinstein Company,USA,Paul Thomas Anderson,Drama,The Master,R,Philip Seymour Hoffman,Paul Thomas Anderson,21/09/2012,32000000,16377274,144,7.1,116047,2012
Exclusive Media Group,USA,David Ayer,Action,End of Watch,R,Jake Gyllenhaal,David Ayer,21/09/2012,7000000,41003371,109,7.7,196450,2012
Fox 2000 Pictures,USA,Ang Lee,Adventure,Life of Pi,PG,Suraj Sharma,Yann Martel,21/11/2012,120000000,124987023,127,7.9,482766,2012
Columbia Pictures,USA,Genndy Tartakovsky,Animation,Hotel Transylvania,PG,Adam Sandler,Peter Baynham,28/09/2012,85000000,148313048,91,7.1,180944,2012
Overbrook Entertainment,USA,McG,Action,This Means War,PG-13,Reese Witherspoon,Timothy Dowling,17/02/2012,65000000,54760791,97,6.3,157282,2012
Columbia Pictures,USA,Sean Anders,Comedy,That's My Boy,R,Adam Sandler,David Caspe,15/06/2012,70000000,36931089,116,5.6,76035,2012
Screen Gems,USA,Michael Sucsy,Drama,The Vow,PG-13,Rachel McAdams,Abby Kohn,10/02/2012,30000000,125014030,104,6.8,159841,2012
Green Hat Films,USA,Nima Nourizadeh,Comedy,Project X,R,Thomas Mann,Matt Drake,02/03/2012,12000000,54731865,88,6.7,166912,2012
Total Recall,USA,Len Wiseman,Action,Total Recall,PG-13,Colin Farrell,Kurt Wimmer,03/08/2012,125000000,58877969,118,6.3,214699,2012
Ixtlan,USA,Oliver Stone,Crime,Savages,R,Aaron Taylor-Johnson,Shane Salerno,06/07/2012,45000000,47382068,131,6.5,109373,2012
Paramount Pictures,USA,Larry Charles,Comedy,The Dictator,R,Sacha Baron Cohen,Sacha Baron Cohen,16/05/2012,65000000,59650222,83,6.4,230068,2012
CBS Films,UK,Martin McDonagh,Comedy,Seven Psychopaths,R,Colin Farrell,Martin McDonagh,12/10/2012,15000000,15024049,110,7.2,200857,2012
Samuel Goldwyn Films,USA,Jon Kasdan,Comedy,The First Time,PG-13,Dylan O'Brien,Jon Kasdan,07/02/2013,2000000,17061,95,6.9,55742,2012
Apatow Productions,USA,Judd Apatow,Comedy,This Is 40,R,Paul Rudd,Judd Apatow,21/12/2012,35000000,67544505,134,6.2,109844,2012
Warner Bros.,USA,Scott Hicks,Drama,The Lucky One,PG-13,Zac Efron,Will Fetters,20/04/2012,25000000,60457138,101,6.5,85269,2012
DreamWorks Animation,USA,Peter Ramsey,Animation,Rise of the Guardians,PG,Hugh Jackman,David Lindsay-Abaire,21/11/2012,145000000,103412758,97,7.3,133291,2012
Warner Bros.,Spain,Jonathan Liebesman,Action,Furia de Titanes 2,PG-13,Sam Worthington,Dan Mazeau,30/03/2012,150000000,83670083,99,5.8,161836,2012
New Line Cinema,USA,Brad Peyton,Action,Journey 2: The Mysterious Island,PG,Josh Hutcherson,Brian Gunn,10/02/2012,79000000,103860290,94,5.8,73718,2012
Davis-Films,Canada,Michael J. Bassett,Adventure,Terror en Silent Hill 2: la revelación,R,Adelaide Clemens,Michael J. Bassett,26/10/2012,20000000,17529157,95,5,53080,2012
Universal Pictures,South Africa,Daniel Espinosa,Action,Protegiendo al enemigo,R,Denzel Washington,David Guggenheim,10/02/2012,85000000,126373434,115,6.8,177666,2012
Fox Searchlight Pictures,USA,Jonathan Dayton,Comedy,Ruby Sparks,R,Paul Dano,Zoe Kazan,30/11/2012,8000000,2540106,100,7.2,84963,2012
Lionsgate,USA,Jeff Nichols,Drama,Mud,PG-13,Matthew McConaughey,Jeff Nichols,10/05/2013,10000000,21590086,130,7.4,146045,2012
Screen Gems,USA,Måns Mårlind,Action,Underworld Awakening,R,Kate Beckinsale,Len Wiseman,20/01/2012,70000000,62321039,88,6.4,129757,2012
Millennium Films,USA,Simon West,Action,The Expendables 2,R,Sylvester Stallone,Richard Wenk,17/08/2012,100000000,85017401,103,6.6,261485,2012
Constantin Film International,Germany,Paul W.S. Anderson,Action,Resident Evil: Retribution,R,Milla Jovovich,Paul W.S. Anderson,14/09/2012,65000000,42345531,95,5.4,116830,2012
Informant Media,USA,Josh Boone,Comedy,Stuck in Love,R,Greg Kinnear,Josh Boone,02/05/2013,0,78950,97,7.3,72452,2012
Lionsgate,USA,Kirk Jones,Comedy,What to Expect When You're Expecting,PG-13,Cameron Diaz,Shauna Cross,18/05/2012,40000000,41152203,110,5.7,61163,2012
EuropaCorp,France,Olivier Megaton,Action,Búsqueda implacable 2,PG-13,Liam Neeson,Luc Besson,05/10/2012,45000000,139854287,92,6.3,254843,2012
Gary Sanchez Productions,USA,Leslye Headland,Comedy,Bachelorette,R,Kirsten Dunst,Leslye Headland,12/07/2013,3000000,447954,87,5.3,39857,2012
Twentieth Century Fox Film Corporation,USA,Josh Trank,Sci-Fi,Chronicle,PG-13,Dane DeHaan,Max Landis,03/02/2012,12000000,64575175,89,7.1,216523,2012
Cross Creek Pictures,UK,James Watkins,Drama,The Woman in Black,PG-13,Daniel Radcliffe,Susan Hill,03/02/2012,17000000,54333290,95,6.4,153960,2012
Universal Pictures,USA,Nicholas Stoller,Comedy,The Five-Year Engagement,R,Jason Segel,Jason Segel,27/04/2012,30000000,28835528,124,6.2,83021,2012
8383 Productions,USA,Matt Bettinelli-Olpin,Horror,V/H/S,R,Calvin Reeder,Brad Miska,25/01/2013,0,99770,116,5.8,48578,2012
Arcade Pictures,USA,RZA,Action,The Man with the Iron Fists,R,Russell Crowe,RZA,02/11/2012,15000000,15634090,95,5.4,55782,2012
Abraham Productions,USA,Timur Bekmambetov,Action,Abraham Lincoln: Vampire Hunter,R,Benjamin Walker,Seth Grahame-Smith,22/06/2012,69000000,37519139,105,5.9,135188,2012
Summit Entertainment,USA,Mabrouk El Mechri,Action,The Cold Light of Day,PG-13,Henry Cavill,Scott Wiper,07/09/2012,20000000,3749061,93,4.9,30822,2012
Relativity Media,Canada,Mark Tonderai,Drama,House at the End of the Street,PG-13,Jennifer Lawrence,David Loucka,21/09/2012,6900000,31611916,101,5.6,62147,2012
MK2 Productions,France,Walter Salles,Adventure,On the Road,R,Sam Riley,Jack Kerouac,23/05/2012,25000000,717753,124,6.1,35540,2012
Also Known As Pictures,USA,Brian Klugman,Drama,The Words,PG-13,Bradley Cooper,Brian Klugman,07/09/2012,6000000,11494838,102,7.1,64718,2012
FilmDistrict,USA,Dan Bradley,Action,Red Dawn,PG-13,Chris Hemsworth,Carl Ellsworth,21/11/2012,65000000,44806783,93,5.4,65454,2012
Bleiberg Entertainment,USA,Ariel Vromen,Action,The Iceman,R,Michael Shannon,Morgan Land,18/10/2013,10000000,1939441,106,6.9,60121,2012
Universal Pictures,USA,Chris Renaud,Animation,The Lorax,PG,Zac Efron,Dr. Seuss,02/03/2012,70000000,214030500,86,6.4,83314,2012
Intrepid Pictures,USA,James McTeigue,Crime,The Raven,R,John Cusack,Hannah Shakespeare,27/04/2012,26000000,16008272,110,6.4,76320,2012
Why Not Productions,France,Jacques Audiard,Drama,Rust and Bone,R,Marion Cotillard,Jacques Audiard,17/05/2012,0,2061449,120,7.5,53846,2012
Summit Entertainment,USA,Asger Leth,Action,Man on a Ledge,PG-13,Sam Worthington,Pablo F. Fenjves,27/01/2012,42000000,18620000,102,6.6,131006,2012
La Petite Reine,France,Franck Khalfoun,Horror,Maniac,NOT RATED,Elijah Wood,Alexandre Aja,02/01/2013,6000000,20551,89,6.1,29681,2012
Focus Features,USA,Lorene Scafaria,Adventure,Seeking a Friend for the End of the World,R,Steve Carell,Lorene Scafaria,22/06/2012,10000000,6619173,101,6.7,95050,2012
Double Feature Films,USA,Lisa Azuelos,Comedy,LOL,PG-13,Miley Cyrus,Lisa Azuelos,14/09/2012,11000000,46500,97,4.3,47937,2012
Relativity Media,USA,Tarsem Singh,Adventure,Mirror Mirror,PG,Lily Collins,Marc Klein,30/03/2012,85000000,64935167,106,5.6,74728,2012
Zentropa Entertainments,Denmark,Nikolaj Arcel,Biography,A Royal Affair,R,Alicia Vikander,Bodil Steensen-Leth,08/03/2013,0,1546761,137,7.6,37338,2012
EuropaCorp,France,James Mather,Action,Lockout,PG-13,Guy Pearce,Stephen St. Leger,13/04/2012,20000000,14326864,95,6.1,85680,2012
Focus Features,USA,Chris Butler,Animation,ParaNorman,PG,Kodi Smit-McPhee,Chris Butler,17/08/2012,60000000,56003051,92,7,79594,2012
Warner Bros.,USA,Robert Lorenz,Drama,Trouble with the Curve,PG-13,Clint Eastwood,Randy Brown,21/09/2012,60000000,35763137,111,6.8,51704,2012
RT Features,USA,Noah Baumbach,Comedy,Frances Ha,R,Greta Gerwig,Noah Baumbach,23/08/2013,0,4063238,86,7.4,50014,2012
Lakeshore Entertainment,USA,Julie Anne Robinson,Action,One for the Money,PG-13,Katherine Heigl,Stacy Sherman,27/01/2012,40000000,26414527,91,5.3,36211,2012
Plan B Entertainment,USA,Andrew Dominik,Crime,Killing Them Softly,R,Brad Pitt,Andrew Dominik,30/11/2012,15000000,15026056,97,6.2,117806,2012
Blue Sky Studios,USA,Steve Martino,Animation,Ice Age: Continental Drift,PG,Ray Romano,Michael Berg,13/07/2012,95000000,161321843,88,6.6,158545,2012
Columbia Pictures,USA,Frank Coraci,Action,Here Comes the Boom,PG,Kevin James,Allan Loeb,12/10/2012,42000000,45290318,105,6.4,77895,2012
Millennium Films,Spain,Rodrigo Cortés,Drama,Red Lights,R,Sigourney Weaver,Rodrigo Cortés,07/09/2012,0,52624,114,6.2,51697,2012
Dimension Films,USA,John Gulager,Comedy,Piranha 3DD,R,Danielle Panabaker,Patrick Melton,11/05/2012,5000000,376512,83,3.8,34111,2012
IM Global,USA,Boaz Yakin,Action,Safe,R,Jason Statham,Boaz Yakin,27/04/2012,30000000,17142080,94,6.5,89887,2012
Relativity Media,USA,Mike McCoy,Action,Act of Valor,R,Alex Veadov,Kurt Johnstad,24/02/2012,12000000,70012847,110,6.5,60703,2012
Alliance,USA,Rob Zombie,Horror,The Lords of Salem,R,Sheri Moon Zombie,Rob Zombie,18/04/2013,2500000,1163508,101,5.1,22611,2012
Magnet Releasing,USA,Kaare Andrews,Comedy,The ABCs of Death,NOT RATED,Ingrid Bolsø Berdal,Ant Timpson,26/04/2013,0,21660,129,4.7,15544,2012
Twentieth Century Fox Film Corporation,USA,Bobby Farrelly,Comedy,The Three Stooges,PG,Sean Hayes,Mike Cerrone,13/04/2012,0,44338224,92,5.1,26808,2012
Millennium Films,USA,Simon West,Action,Stolen,R,Nicolas Cage,David Guggenheim,05/04/2013,35000000,304318,96,5.5,39133,2012
SBS Productions,France,Brian De Palma,Mystery,"Pasión, un asesinato perfecto",R,Rachel McAdams,Brian De Palma,30/08/2013,20000000,91186,102,5.3,18303,2012
Universal Pictures,USA,Baltasar Kormákur,Action,Contraband,R,Mark Wahlberg,Aaron Guzikowski,13/01/2012,25000000,66528000,109,6.5,106160,2012
Millennium Films,USA,Lee Daniels,Drama,The Paperboy,R,Matthew McConaughey,Peter Dexter,06/09/2013,12500000,692640,107,5.8,30992,2012
A Hot Dog,USA,David Wain,Comedy,Wanderlust,R,Jennifer Aniston,David Wain,24/02/2012,0,17225675,98,5.6,65388,2012
Les Films du Losange,Austria,Michael Haneke,Drama,Amour,PG-13,Jean-Louis Trintignant,Michael Haneke,20/09/2012,8900000,6739492,127,7.9,77023,2012
Ghost House Pictures,USA,Ole Bornedal,Horror,The Possession,PG-13,Natasha Calis,Juliet Snowden,31/08/2012,14000000,49130154,92,5.9,50230,2012
DreamWorks Animation,USA,Eric Darnell,Animation,Madagascar 3: Europe's Most Wanted,PG,Ben Stiller,Eric Darnell,08/06/2012,145000000,216391482,100,6.9,130435,2012
Walt Disney Pictures,USA,Tim Burton,Animation,Frankenweenie,PG,Winona Ryder,Leonard Ripps,05/10/2012,39000000,35291068,87,7,81006,2012
Twentieth Century Fox Film Corporation,USA,Akiva Schaffer,Action,The Watch,R,Ben Stiller,Jared Stern,27/07/2012,68000000,35353000,102,5.7,109650,2012
Brothers K Productions,USA,Terrence Malick,Drama,To the Wonder,R,Ben Affleck,Terrence Malick,16/08/2013,0,586293,112,5.9,23334,2012
Medusa Film,USA,Woody Allen,Comedy,To Rome with Love,R,Woody Allen,Woody Allen,06/07/2012,0,16685867,112,6.3,73659,2012
Screen Gems,USA,Tim Story,Comedy,Think Like a Man,PG-13,Chris Brown,Keith Merryman,20/04/2012,12000000,91547205,100,6.6,36989,2012
Warner Bros.,USA,Jay Roach,Comedy,The Campaign,R,Will Ferrell,Chris Henchy,10/08/2012,95000000,86907746,85,6.1,112145,2012
Demarest Films,UK,Neil Jordan,Drama,Byzantium,R,Saoirse Ronan,Moira Buffini,31/05/2013,0,84293,118,6.5,34757,2012
DreamWorks,USA,Alex Kurtzman,Comedy,People Like Us,PG-13,Chris Pine,Alex Kurtzman,29/06/2012,16000000,12412386,100,7.1,36565,2012
FilmDistrict,USA,Colin Trevorrow,Comedy,Safety Not Guaranteed,R,Aubrey Plaza,Derek Connolly,18/10/2012,750000,4010957,100,7,106586,2012
Enderby Entertainment,USA,Stephen Elliott,Drama,About Cherry,R,Ashley Hinshaw,Stephen Elliott,09/08/2012,2500000,2760,98,4.8,8592,2012
LD Entertainment,USA,Marcus Dunstan,Horror,The Collection,R,Josh Stewart,Patrick Melton,30/11/2012,10000000,6842058,82,6.1,38699,2012
Offspring Entertainment,USA,Scott Speer,Drama,Step Up Revolution,PG-13,Kathryn McCormick,Amanda Brody,27/07/2012,33000000,35074677,99,6.5,48309,2012
LD Entertainment,USA,Henry Alex Rubin,Drama,Disconnect,R,Jason Bateman,Andrew Stern,05/07/2013,10000000,7435950,115,7.6,65916,2012
Monsterfoot Productions,USA,Peter Hedges,Comedy,The Odd Life of Timothy Green,PG,Jennifer Garner,Peter Hedges,15/08/2012,25000000,51853450,105,6.6,40006,2012
Bad Cop Bad Cop Film Productions,USA,Craig Zobel,Biography,Compliance,R,Ann Dowd,Craig Zobel,26/09/2012,270000,318622,90,6.4,26600,2012
Recorded Picture Company (RPC),UK,Joachim Rønning,Adventure,Kon-Tiki,PG-13,Pål Sverre Hagen,Petter Skavlan,26/04/2013,16600000,1517410,118,7.2,38013,2012
Lionsgate,USA,Nicholas Jarecki,Drama,Arbitrage,R,Richard Gere,Nicholas Jarecki,14/09/2012,12000000,7918283,107,6.6,44196,2012
Fox Searchlight Pictures,USA,Sacha Gervasi,Biography,Hitchcock,PG-13,Anthony Hopkins,John J. McLaughlin,14/12/2012,0,6008677,98,6.8,64089,2012
Summit Entertainment,USA,Heitor Dhalia,Drama,Gone,PG-13,Amanda Seyfried,Allison Burnett,24/02/2012,0,11653123,100,5.9,36704,2012
Upside Down Films,Canada,Juan Solanas,Drama,Upside Down,PG-13,Jim Sturgess,Juan Solanas,01/05/2013,60000000,102118,109,6.4,62401,2012
Columbia Pictures,USA,David Koepp,Action,Premium Rush,PG-13,Joseph Gordon-Levitt,David Koepp,24/08/2012,35000000,20275446,91,6.5,100314,2012
Class 5 Films,USA,Stuart Blumberg,Comedy,Thanks for Sharing,R,Mark Ruffalo,Stuart Blumberg,07/02/2014,0,1059239,112,6.4,22269,2012
IM Global,USA,Walter Hill,Action,Bullet to the Head,R,Sylvester Stallone,Alessandro Camon,01/02/2013,55000000,9483821,92,5.7,41677,2012
BCDF Pictures,USA,Josh Radnor,Comedy,Liberal Arts,PG-13,Josh Radnor,Josh Radnor,05/10/2012,0,317190,97,6.7,31570,2012
Menuet Producties,Belgium,Felix van Groeningen,Drama,El círculo roto,NOT RATED,Veerle Baetens,Johan Heldenbergh,28/08/2014,0,175058,111,7.8,32959,2012
Magnolia Pictures,France,Stefan Ruzowitzky,Crime,Deadfall,R,Eric Bana,Zach Dean,24/01/2014,12000000,65804,95,6.3,34374,2012
Maven Pictures,USA,Shari Springer Berman,Comedy,Girl Most Likely,PG-13,Kristen Wiig,Michelle Morgan,18/07/2013,0,1378426,103,5.8,13157,2012
Envision Media Arts,USA,Lee Toland Krieger,Comedy,Celeste & Jesse Forever,R,Rashida Jones,Rashida Jones,24/08/2012,0,3094687,100,6.6,25966,2012
Block / Hanson,USA,Rob Cohen,Action,Alex Cross,PG-13,Tyler Perry,Marc Moss,19/10/2012,35000000,25888412,101,5.1,29622,2012
Fox Searchlight Pictures,USA,Ben Lewin,Biography,The Sessions,R,John Hawkes,Ben Lewin,16/11/2012,1000000,6002451,95,7.2,38014,2012
Alcon Entertainment,USA,Bradley Parker,Horror,Chernobyl Diaries,R,Jesse McCartney,Oren Peli,25/05/2012,1000000,18119640,86,5,55671,2012
Cinereach,USA,Benh Zeitlin,Adventure,Beasts of the Southern Wild,PG-13,Quvenzhané Wallis,Lucy Alibar,14/02/2013,1800000,12795746,93,7.3,73864,2012
Fox 2000 Pictures,USA,David Bowers,Comedy,Diary of a Wimpy Kid: Dog Days,PG,Zachary Gordon,Maya Forbes,03/08/2012,22000000,49008662,94,6.3,17568,2012
H2O Motion Pictures,Canada,David Weaver,Crime,The Samaritan,R,Samuel L. Jackson,Elan Mastai,20/04/2012,12000000,1744,90,5.6,8339,2012
Voltage Pictures,USA,Robert Redford,Drama,The Company You Keep,R,Robert Redford,Lem Dobbs,26/04/2013,2000000,5132442,125,6.4,27858,2012
BBC Films,UK,Mike Newell,Drama,Great Expectations,PG-13,Toby Irvine,David Nicholls,08/11/2013,0,258656,128,6.4,10421,2012
Alfama Films,Canada,David Cronenberg,Drama,Cosmópolis,R,Robert Pattinson,David Cronenberg,03/05/2013,20500000,743636,109,5,39663,2012
Exclusive Media Group,USA,David Palmer,Action,Hit and Run,R,Dax Shepard,Dax Shepard,22/08/2012,2000000,13746550,100,6.1,30897,2012
Twentieth Century Fox Film Corporation,USA,Anthony Hemingway,Action,Red Tails,PG-13,Cuba Gooding Jr.,John Ridley,20/01/2012,58000000,49876377,100,5.9,30097,2012
Medusa Film,Italy,Sergio Castellitto,Drama,Twice Born,R,Penélope Cruz,Margaret Mazzantini,06/12/2013,0,14947,127,7.4,13094,2012
