company,country,director,genre,name,rating,star,writer,released,budget,gross,runtime,score,votes,year
Escalante Productions,USA,Dick Richards,Action,Heat,R,Burt Reynolds,William Goldman,13/03/1987,17000000,2793214,101,5.5,1358,1986
Kings Road Entertainment,USA,Robert Mandel,Comedy,Touch and Go,R,Michael Keaton,Alan Ormsby,22/08/1986,0,1254040,101,5.8,684,1986
Canadian Broadcasting Corporation (CBC),Canada,Charles Jarrott,Biography,The Boy in Blue,R,Nicolas Cage,Douglas Bowie,17/01/1986,0,275000,100,5.4,907,1986
Universal Pictures,USA,Alan Alda,Comedy,Sweet Liberty,PG,Alan Alda,Alan Alda,16/05/1986,0,14205021,106,5.7,2300,1986
Marquis,USA,William Fruet,Comedy,Killer Party,R,Martin Hewitt,Barney Cohen,09/05/1986,0,681337,91,4.7,1265,1986
Rondo Productions,USA,Bill Sherwood,Drama,Parting Glances,NOT RATED,John Bolger,Bill Sherwood,19/02/1986,0,537681,90,7.8,2330,1986
Nelvana,Canada,Dale Schott,Animation,Care Bears Movie II: A New Generation,G,Maxine Miller,Peter Sauder,21/03/1986,0,8540346,76,5.3,1760,1986
Columbia Pictures Corporation,USA,Richard Pryor,Biography,"Jo Jo Dancer, Your Life Is Calling",R,Richard Pryor,Rocco Urbisci,02/05/1986,14000000,18034150,97,6.3,1288,1986
Balcor Film Investors,USA,Andrew Lane,Action,Jake Speed,PG,Wayne Crawford,Wayne Crawford,30/05/1986,0,1943751,100,5.3,632,1986
Cinema Group Ventures,USA,Renny Harlin,Action,Born American,R,Mike Norris,Renny Harlin,29/08/1986,3401376,3388020,97,4.3,1509,1986
Paramount Pictures,USA,Michelle Manning,Action,Blue City,R,Judd Nelson,Ross Macdonald,02/05/1986,10000000,6947787,83,4.4,792,1986
Cascade Films,Australia,Nadia Tass,Comedy,Malcolm,PG-13,Colin Friels,David Parker,05/11/1986,0,544472,90,7.2,1623,1986
Miramax,USA,Bob Weinstein,Comedy,Playing for Keeps,PG-13,Daniel Jordano,Bob Weinstein,03/10/1986,0,2669366,102,4.1,515,1986
Golan-Globus Productions,USA,Andrey Konchalovskiy,Drama,Duet for One,R,Julie Andrews,Tom Kempinski,1987-02,0,8736,107,7,699,1986
Island Pictures,USA,Evelyn Purcell,Comedy,Nobody's Fool,PG-13,Rosanna Arquette,Beth Henley,07/11/1986,0,563358,107,5.5,652,1986
